"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.10953143772527,0.180816980376452,288.10822892189
150,0.2,0.14268561136682,0.221332799679808,340.844459295273
200,0.2,0.187312387432459,0.280568341004603,399.371395111084
250,0.2,0.2276,0.3048,460.253570318222
300,0.2,0.265759455673404,0.352811687012207,517.518411397934
350,0.2,0.314588753251951,0.40384230538323,581.083491325378
400,0.2,0.3458,0.463,636.869539737701
450,0.2,0.3732,0.4876,686.948263645172
500,0.2,0.4112,0.5426,744.596528291702
550,0.2,0.463985594237695,0.568227290916367,810.198395729065
100,0.4,0.113668200920552,0.154892935761457,284.880190849304
150,0.4,0.141284770862518,0.187312387432459,339.223364591599
200,0.4,0.184584584584585,0.235235235235235,402.386854887009
250,0.4,0.2232,0.2484,459.542005300522
300,0.4,0.2644,0.2968,515.370417833328
350,0.4,0.319263852770554,0.344468893778756,581.50684762001
400,0.4,0.346,0.3864,626.436868429184
450,0.4,0.3708,0.4098,679.853451728821
500,0.4,0.414,0.4578,741.145176410675
550,0.4,0.459891978395679,0.484096819363873,805.260937213898
100,0.6,0.11208967173739,0.137309847878303,284.62294626236
150,0.6,0.141284770862518,0.15569341604963,339.701277494431
200,0.6,0.184673869547819,0.199479791916767,401.169531822205
250,0.6,0.224444888977796,0.210442088417684,460.458340644836
300,0.6,0.264052810562112,0.253650730146029,511.33167052269
350,0.6,0.314451561248999,0.292433947157726,578.601330041885
400,0.6,0.34746949389878,0.335267053410682,624.704642534256
450,0.6,0.370748299319728,0.34733893557423,690.595680475235
500,0.6,0.4172,0.3934,746.074862957001
550,0.6,0.4564,0.4128,802.798279047012
