"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.149029805961192,0.145229045809162,755.175134897232
0.05,0.151430286057211,0.142028405681136,735.580546855927
0.1,0.151260504201681,0.14265706282513,750.580851793289
0.15,0.1508,0.1426,748.604567289352
0.2,0.1512,0.141,745.619866609573
0.25,0.151030206041208,0.142628525705141,743.55762386322
0.3,0.151430286057211,0.143028605721144,743.225288391113
0.35,0.1534,0.1424,748.528121232986
0.4,0.151630326065213,0.143628725745149,749.758279800415
0.45,0.1564,0.1404,740.485306024551
