"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.15955955955956,0.258458458458458,283.306525707245
150,0.2,0.225490196078431,0.328131252501,338.647498846054
200,0.2,0.315315315315315,0.435835835835836,398.112891435623
250,0.2,0.381,0.481,460.170439481735
300,0.2,0.4412,0.5556,509.88911485672
350,0.2,0.524724724724725,0.627227227227227,573.868027687073
400,0.2,0.5862,0.6896,623.42480301857
450,0.2,0.617123424684937,0.720544108821764,683.146013975143
500,0.2,0.6702,0.7816,731.555644035339
550,0.2,0.7232,0.8074,788.100922822952
100,0.4,0.16262767875025,0.220508712197076,280.945698022842
150,0.4,0.226890756302521,0.276910764305722,338.990077257156
200,0.4,0.314988993396038,0.367420452271363,397.813763618469
250,0.4,0.375075015003001,0.412282456491298,456.406241178513
300,0.4,0.441088217643529,0.476495299059812,513.002765893936
350,0.4,0.528316990194116,0.540724434660796,576.072373151779
400,0.4,0.5822,0.6036,625.913222551346
450,0.4,0.618523704740948,0.630326065213043,688.870846033096
500,0.4,0.676,0.692,740.568629026413
550,0.4,0.723089235694278,0.728091236494598,794.905242204666
100,0.6,0.169501701020612,0.205923554132479,283.686528921127
150,0.6,0.23013808284971,0.257954772863718,339.337422847748
200,0.6,0.321328531412565,0.345138055222089,397.116108179092
250,0.6,0.3852,0.3806,458.107704162598
300,0.6,0.4542,0.4488,511.551152467728
350,0.6,0.537322393436062,0.506704022413448,568.685829401016
400,0.6,0.59343737494998,0.570828331332533,622.708364248276
450,0.6,0.630126025205041,0.597719543908782,682.465784311295
500,0.6,0.6864,0.6618,736.63375544548
550,0.6,0.733,0.6982,794.057076692581
