"Scenario","p","q","truth.delta.eos.means","truth.delta.AUC","N","rho","power.eos.means","power.AUC"
1,0.6,0.62,0,0,100,0.15,0.049,0.0584
2,0.6,0.62,0.195,0.892,100,0.15,0.0544,0.0688
3,0.6,0.62,0.39,1.785,100,0.15,0.063,0.0972
4,0.6,0.62,0.585,2.677,100,0.15,0.0774,0.1374
5,0.6,0.62,0.78,3.57,100,0.15,0.093,0.1842
6,0.6,0.62,0.975,4.463,100,0.15,0.1164,0.2342
7,0.6,0.62,1.17,5.355,100,0.15,0.135,0.2878
8,0.6,0.62,1.365,6.248,100,0.15,0.1566,0.3464
9,0.6,0.62,1.56,7.14,100,0.15,0.1808,0.4068
10,0.6,0.62,1.755,8.033,100,0.15,0.2014,0.46
1,0.6,0.62,0,0,150,0.15,0.0492,0.0594
2,0.6,0.62,0.195,0.892,150,0.15,0.0598,0.0716
3,0.6,0.62,0.39,1.785,150,0.15,0.0768,0.108
4,0.6,0.62,0.585,2.677,150,0.15,0.101,0.1684
5,0.6,0.62,0.78,3.57,150,0.15,0.132,0.2354
6,0.6,0.62,0.975,4.463,150,0.15,0.1622,0.3168
7,0.6,0.62,1.17,5.355,150,0.15,0.1938,0.3996
8,0.6,0.62,1.365,6.248,150,0.15,0.2286,0.4828
9,0.6,0.62,1.56,7.14,150,0.15,0.2626,0.558
10,0.6,0.62,1.755,8.033,150,0.15,0.2986,0.628
1,0.6,0.62,0,0,200,0.15,0.0548,0.0566
2,0.6,0.62,0.195,0.892,200,0.15,0.0638,0.08
3,0.6,0.62,0.39,1.785,200,0.15,0.0846,0.1316
4,0.6,0.62,0.585,2.677,200,0.15,0.116,0.2124
5,0.6,0.62,0.78,3.57,200,0.15,0.1548,0.3066
6,0.6,0.62,0.975,4.463,200,0.15,0.203,0.4084
7,0.6,0.62,1.17,5.355,200,0.15,0.2578,0.5016
8,0.6,0.62,1.365,6.248,200,0.15,0.3054,0.5906
9,0.6,0.62,1.56,7.14,200,0.15,0.3568,0.6746
10,0.6,0.62,1.755,8.033,200,0.15,0.4066,0.747
